"db","group","conc_m3","min_d","max_d","mp","stationid"
"(120,160]","bv55c16",0,120,160,140,"st7"
"(120,160]","bv55c16",0,120,160,140,"st7"
"(120,160]","bv55c16",0,120,160,140,"st7"
"(160,200]","bv55c16",0,160,200,180,"st7"
"(160,200]","bv55c16",0,160,200,180,"st7"
"(160,200]","bv55c16",0,160,200,180,"st7"
"(160,200]","bv55c16",0,160,200,180,"st7"
"(160,200]","bv55c16",0,160,200,180,"st7"
"(1e+03,1.1e+03]","bv55c16",6.50469790733635,1000,1100,1050,"st7"
"(1e+03,1.1e+03]","bv55c16",0,1000,1100,1050,"st7"
"(1e+03,1.1e+03]","bv55c16",0,1000,1100,1050,"st7"
"(1e+03,1.1e+03]","bv55c16",0,1000,1100,1050,"st7"
"(1e+03,1.1e+03]","bv55c16",0,1000,1100,1050,"st7"
"(2.2e+03,2.4e+03]","bv55c16",0.50263784515577,2200,2400,2300,"st7"
"(2.2e+03,2.4e+03]","bv55c16",0,2200,2400,2300,"st7"
"(2.2e+03,2.4e+03]","bv55c16",0,2200,2400,2300,"st7"
"(2.2e+03,2.4e+03]","bv55c16",0,2200,2400,2300,"st7"
"(2.2e+03,2.4e+03]","bv55c16",0,2200,2400,2300,"st7"
"(2.4e+03,2.6e+03]","bv55c16",1.03483332729818,2400,2600,2500,"st7"
"(2.4e+03,2.6e+03]","bv55c16",0,2400,2600,2500,"st7"
"(2.4e+03,2.6e+03]","bv55c16",0,2400,2600,2500,"st7"
"(2.4e+03,2.6e+03]","bv55c16",0,2400,2600,2500,"st7"
"(2.4e+03,2.6e+03]","bv55c16",0,2400,2600,2500,"st7"
"(2.6e+03,2.8e+03]","bv55c16",4.72395283922379,2600,2800,2700,"st7"
"(2.6e+03,2.8e+03]","bv55c16",0,2600,2800,2700,"st7"
"(2.6e+03,2.8e+03]","bv55c16",0,2600,2800,2700,"st7"
"(2.6e+03,2.8e+03]","bv55c16",0,2600,2800,2700,"st7"
"(2.6e+03,2.8e+03]","bv55c16",0,2600,2800,2700,"st7"
"(2.8e+03,3e+03]","bv55c16",0.24608328311984,2800,3000,2900,"st7"
"(2.8e+03,3e+03]","bv55c16",0.900999466340345,2800,3000,2900,"st7"
"(2.8e+03,3e+03]","bv55c16",0,2800,3000,2900,"st7"
"(2.8e+03,3e+03]","bv55c16",0,2800,3000,2900,"st7"
"(2.8e+03,3e+03]","bv55c16",0,2800,3000,2900,"st7"
"(200,300]","bv55c16",5.47221379231473,200,300,250,"st7"
"(200,300]","bv55c16",0.340820420979487,200,300,250,"st7"
"(200,300]","bv55c16",0,200,300,250,"st7"
"(200,300]","bv55c16",0,200,300,250,"st7"
"(200,300]","bv55c16",0,200,300,250,"st7"
"(2e+03,2.2e+03]","bv55c16",1.3679097089487,2000,2200,2100,"st7"
