"db","group","conc_m3","min_d","max_d","mp","stationid"
"(200,300]","bv55c15",0,200,300,250,"st6"
"(200,300]","bv55c15",0,200,300,250,"st6"
"(200,300]","bv55c15",0,200,300,250,"st6"
"(200,300]","bv55c15",0,200,300,250,"st6"
"(200,300]","bv55c15",0,200,300,250,"st6"
"(40,80]","bv55c15",2.28558368093252,40,80,60,"st6"
"(40,80]","bv55c15",0.57139592023313,40,80,60,"st6"
"(40,80]","bv55c15",0.57139592023313,40,80,60,"st6"
"(40,80]","bv55c15",0.57139592023313,40,80,60,"st6"
"(40,80]","bv55c15",0,40,80,60,"st6"
"(80,120]","bv55c15",2.25720896111958,80,120,100,"st6"
"(80,120]","bv55c15",1.12860448055979,80,120,100,"st6"
"(80,120]","bv55c15",0,80,120,100,"st6"
"(80,120]","bv55c15",0.564302240279894,80,120,100,"st6"
"(80,120]","bv55c15",1.12860448055979,80,120,100,"st6"
"(0,40]","bv55c16",28.7889450451027,0,40,20,"st7"
"(0,40]","bv55c16",8.95656068069861,0,40,20,"st7"
"(0,40]","bv55c16",1.91926300300685,0,40,20,"st7"
"(0,40]","bv55c16",0,0,40,20,"st7"
"(0,40]","bv55c16",0,0,40,20,"st7"
"(1.1e+03,1.2e+03]","bv55c16",0.435388366422849,1100,1200,1150,"st7"
"(1.1e+03,1.2e+03]","bv55c16",0.870776732845698,1100,1200,1150,"st7"
"(1.1e+03,1.2e+03]","bv55c16",0,1100,1200,1150,"st7"
"(1.1e+03,1.2e+03]","bv55c16",0,1100,1200,1150,"st7"
"(1.1e+03,1.2e+03]","bv55c16",0,1100,1200,1150,"st7"
"(1.2e+03,1.3e+03]","bv55c16",0,1200,1300,1250,"st7"
"(1.2e+03,1.3e+03]","bv55c16",0,1200,1300,1250,"st7"
"(1.2e+03,1.3e+03]","bv55c16",0,1200,1300,1250,"st7"
"(1.2e+03,1.3e+03]","bv55c16",0,1200,1300,1250,"st7"
"(1.2e+03,1.3e+03]","bv55c16",0,1200,1300,1250,"st7"
"(1.3e+03,1.4e+03]","bv55c16",1.31245078309563,1300,1400,1350,"st7"
"(1.3e+03,1.4e+03]","bv55c16",0.437483594365211,1300,1400,1350,"st7"
"(1.3e+03,1.4e+03]","bv55c16",0,1300,1400,1350,"st7"
"(1.3e+03,1.4e+03]","bv55c16",0,1300,1400,1350,"st7"
"(1.3e+03,1.4e+03]","bv55c16",0,1300,1400,1350,"st7"
"(1.4e+03,1.6e+03]","bv55c16",0.426202957848527,1400,1600,1500,"st7"
"(1.4e+03,1.6e+03]","bv55c16",0,1400,1600,1500,"st7"
"(1.4e+03,1.6e+03]","bv55c16",0,1400,1600,1500,"st7"
"(1.4e+03,1.6e+03]","bv55c16",0,1400,1600,1500,"st7"
"(1.4e+03,1.6e+03]","bv55c16",0,1400,1600,1500,"st7"
"(1.6e+03,1.8e+03]","bv55c16",0.21435767722021,1600,1800,1700,"st7"
"(1.6e+03,1.8e+03]","bv55c16",0,1600,1800,1700,"st7"
"(1.6e+03,1.8e+03]","bv55c16",0,1600,1800,1700,"st7"
"(1.6e+03,1.8e+03]","bv55c16",0,1600,1800,1700,"st7"
"(1.6e+03,1.8e+03]","bv55c16",0,1600,1800,1700,"st7"
"(1.8e+03,2e+03]","bv55c16",0.637213254035684,1800,2000,1900,"st7"
"(1.8e+03,2e+03]","bv55c16",0,1800,2000,1900,"st7"
"(1.8e+03,2e+03]","bv55c16",0,1800,2000,1900,"st7"
"(1.8e+03,2e+03]","bv55c16",0,1800,2000,1900,"st7"
"(1.8e+03,2e+03]","bv55c16",0,1800,2000,1900,"st7"
"(120,160]","bv55c16",0,120,160,140,"st7"
"(120,160]","bv55c16",0,120,160,140,"st7"
"(120,160]","bv55c16",0,120,160,140,"st7"
"(120,160]","bv55c16",0,120,160,140,"st7"
"(120,160]","bv55c16",0,120,160,140,"st7"
"(160,200]","bv55c16",0,160,200,180,"st7"
"(160,200]","bv55c16",0,160,200,180,"st7"
"(160,200]","bv55c16",0,160,200,180,"st7"
"(160,200]","bv55c16",0,160,200,180,"st7"
"(160,200]","bv55c16",0,160,200,180,"st7"
"(1e+03,1.1e+03]","bv55c16",0.871611609866643,1000,1100,1050,"st7"
"(1e+03,1.1e+03]","bv55c16",0,1000,1100,1050,"st7"
"(1e+03,1.1e+03]","bv55c16",0,1000,1100,1050,"st7"
"(1e+03,1.1e+03]","bv55c16",0,1000,1100,1050,"st7"
"(1e+03,1.1e+03]","bv55c16",0,1000,1100,1050,"st7"
"(2.2e+03,2.4e+03]","bv55c16",0.430338891877353,2200,2400,2300,"st7"
"(2.2e+03,2.4e+03]","bv55c16",0,2200,2400,2300,"st7"
"(2.2e+03,2.4e+03]","bv55c16",0,2200,2400,2300,"st7"
"(2.2e+03,2.4e+03]","bv55c16",0,2200,2400,2300,"st7"
"(2.2e+03,2.4e+03]","bv55c16",0,2200,2400,2300,"st7"
"(2.4e+03,2.6e+03]","bv55c16",0.215628773503536,2400,2600,2500,"st7"
"(2.4e+03,2.6e+03]","bv55c16",0,2400,2600,2500,"st7"
"(2.4e+03,2.6e+03]","bv55c16",0,2400,2600,2500,"st7"
"(2.4e+03,2.6e+03]","bv55c16",0,2400,2600,2500,"st7"
"(2.4e+03,2.6e+03]","bv55c16",0,2400,2600,2500,"st7"
"(2.6e+03,2.8e+03]","bv55c16",0.205537171397447,2600,2800,2700,"st7"
"(2.6e+03,2.8e+03]","bv55c16",0,2600,2800,2700,"st7"
"(2.6e+03,2.8e+03]","bv55c16",0,2600,2800,2700,"st7"
"(2.6e+03,2.8e+03]","bv55c16",0,2600,2800,2700,"st7"
"(2.6e+03,2.8e+03]","bv55c16",0,2600,2800,2700,"st7"
"(2.8e+03,3e+03]","bv55c16",0.209178764171861,2800,3000,2900,"st7"
"(2.8e+03,3e+03]","bv55c16",0.209178764171861,2800,3000,2900,"st7"
"(2.8e+03,3e+03]","bv55c16",0,2800,3000,2900,"st7"
"(2.8e+03,3e+03]","bv55c16",0,2800,3000,2900,"st7"
"(2.8e+03,3e+03]","bv55c16",0,2800,3000,2900,"st7"
"(200,300]","bv55c16",0.451385754265595,200,300,250,"st7"
"(200,300]","bv55c16",0.451385754265595,200,300,250,"st7"
"(200,300]","bv55c16",0,200,300,250,"st7"
"(200,300]","bv55c16",0,200,300,250,"st7"
"(200,300]","bv55c16",0,200,300,250,"st7"
"(2e+03,2.2e+03]","bv55c16",0.636915629909558,2000,2200,2100,"st7"
